Cluster,Sample_Count,Weighted_Count,Mean_Barrier,Weighted_Mean_Barrier,Std_Barrier,Q25,Median,Q75
low,407861,20633394.5117496,74.45590443500511,75.53219517014323,9.30871198270879,71.39969516388574,75.44682090148031,79.36852304924713
high,38154,1368992.956129997,74.71030644934355,77.35065159179237,8.884538620772322,72.28197065238898,75.63276285157272,78.90143055015433
middle,167729,6252818.514510092,74.11193004030162,75.57577066132708,9.08200789990575,71.4571231231979,75.51966766351582,78.96892273908814
